timestamp_s,elapsed_s,valid_detection,horizontal_error,estimated_distance_m,target_distance_m,distance_target_error_m,linear_command_mps,angular_command_radps,robot_x_m,robot_y_m,robot_yaw_rad,target_x_m,target_y_m,ground_truth_camera_distance_m,estimation_error_m
8.202,8.202,True,-0.44390153884887695,2.2081622717702705,1.2,0.9315928391556711,0.0,0.0,-2.4184167743230323e-18,1.8866782890647845e-36,-8.93699258858273e-19,2.4010111897886595,0.5541676665854492,2.131592839155671,0.07656943261459936
8.233,8.233,True,-0.4455874443054199,2.2086406705721493,1.2,0.9309919672618212,0.0,0.0,-2.418492730156881e-18,1.8867445204108747e-36,-8.949527225301365e-19,2.4001912584619913,0.5548459640009676,2.130991967261821,0.07764870331032814
8.269,8.269,True,-0.4464107513427734,2.2062063750007583,1.2,0.9290737810271559,0.0,0.0,-2.414820446647437e-18,1.8834846659003607e-36,-8.877749050180758e-19,2.397587763889983,0.556951326471792,2.129073781027156,0.0771325939736025
8.301,8.301,True,-0.4476310253143311,2.2025130849775985,1.2,0.9277345352525035,0.0,0.0,-2.420151653145786e-18,1.888209460642316e-36,-8.903771285456206e-19,2.3957818781532523,0.558370550992022,2.1277345352525034,0.07477854972509501
8.331,8.331,True,-0.44928345680236814,2.201475807402634,1.2,0.9270945712534526,0.0,0.0,-2.416641979772794e-18,1.8850825348063155e-36,-8.874080658915532e-19,2.3949221470387574,0.559034933102246,2.1270945712534526,0.07438123614918135
8.365,8.365,True,-0.4508965015411377,2.1961777400850924,1.2,0.9257140414890739,0.0,0.0,-2.4210668396645184e-18,1.8889978299576202e-36,-8.828435267645646e-19,2.3930742554666087,0.5604393171087937,2.125714041489074,0.07046369859601853
8.398,8.398,True,-0.45252017974853515,2.2006811075046913,1.2,0.9243474084162184,0.0,0.0,-2.41793849720952e-18,1.8862371447322848e-36,-8.817625750542068e-19,2.391253553569727,0.5617927152409949,2.1243474084162184,0.07633369908847287
8.432,8.432,True,-0.45389342308044434,2.194396536762892,1.2,0.9229545789136975,0.0,0.0,-2.418487609451379e-18,1.886728903465654e-36,-8.797156371937415e-19,2.389406222128895,0.5631365541325807,2.1229545789136974,0.07144195784919471
8.465,8.465,True,-0.4553427219390869,2.194817001538769,1.2,0.9214922623263508,0.0,0.0,-2.423652529611361e-18,1.8912588049708926e-36,-8.759735168346945e-19,2.3874751915920194,0.5645110931178974,2.121492262326351,0.07332473921241833
8.497,8.497,True,-0.4567448139190674,2.189511452081895,1.2,0.9200465946164169,0.0,0.0,-2.424937628101888e-18,1.892380467308745e-36,-8.724213406469604e-19,2.385574182795955,0.5658354536850836,2.120046594616417,0.06946485746547815
