timestamp_s,elapsed_s,valid_detection,horizontal_error,estimated_distance_m,target_distance_m,distance_target_error_m,linear_command_mps,angular_command_radps,robot_x_m,robot_y_m,robot_yaw_rad,target_x_m,target_y_m,ground_truth_camera_distance_m,estimation_error_m
16.551,16.551,True,-0.018448448181152342,1.1243115963813939,1.2,-0.18964153287794683,-0.08191986188419396,-0.0,0.5332769034560354,-0.14432681404550257,0.7390705989046908,1.6243677670521726,0.5723409401769922,1.0103584671220531,0.11395312925934076
16.585,16.585,True,-0.018420314788818358,1.1246727495229647,1.2,-0.18887942638829647,-0.08325724398046669,-0.0,0.5308352722471776,-0.14655208426742453,0.7390705989046883,1.6223362968898494,0.571065160324169,1.0111205736117035,0.11355217591126121
16.616,16.616,True,-0.018404006958007812,1.1246277867178358,1.2,-0.18851693241614131,-0.08285997552473878,-0.0,0.5296075083105477,-0.14767105199597452,0.7390705989046871,1.6212998049413256,0.5704041468000164,1.0114830675838586,0.11314471913397717
16.65,16.65,True,-0.017743778228759766,1.12590435913374,1.2,-0.188839166975576,-0.08290943461038057,-0.0,0.5271571217200895,-0.14990430175628308,0.7390705989046865,1.6182910139654931,0.5684450720835865,1.011160833024424,0.11474352610931615
16.684,16.684,True,-0.017781162261962892,1.1254492852743259,1.2,-0.18692852377942937,-0.08150520495288585,-0.0,0.5247267612106673,-0.15211930001258506,0.7390705989046851,1.6173407748383541,0.5678134748301812,1.0130714762205706,0.11237780905375527
16.716,16.716,True,-0.01750659942626953,1.1256481214772078,1.2,-0.18767550482302164,-0.0820057861982415,-0.0,0.5235182597755067,-0.15322071215339347,0.7390705989046851,1.6153418642421435,0.5664637925538101,1.0123244951769783,0.11332362630022952
16.752,16.752,True,-0.017290878295898437,1.125445842929686,1.2,-0.18795714362585292,-0.08178706637507134,-0.0,0.5210970904582503,-0.15542733367935366,0.7390705989046857,1.6124528165699215,0.5644603856041664,1.012042856374147,0.11340298655553904
16.782,16.782,True,-0.016294574737548827,1.1289239323617954,1.2,-0.18603223129421198,-0.08200957277734527,-0.0,0.5186758651681697,-0.1576340062182017,0.7390705989046852,1.6115410888575963,0.563814634826956,1.013967768705788,0.11495616365600747
16.85,16.85,True,-0.015461063385009766,1.126456669361317,1.2,-0.18602630508654894,-0.07818367440202496,-0.0,0.5151804787358213,-0.16081965494098893,0.7390705989046847,1.6077909024138852,0.561086088321768,1.013973694913451,0.11248297444786592
16.883,16.883,True,-0.01485271453857422,1.1274499170537102,1.2,-0.18522941034216234,-0.08089766370255132,-0.0,0.5128289545471152,-0.1629628028227302,0.7390705989046847,1.6059841770514192,0.5597276999341172,1.0147705896578376,0.11267932739587261
16.913,16.913,True,-0.014483070373535157,1.1271141218520084,1.2,-0.18589662603616142,-0.07980509124091871,-0.0,0.5116412086431974,-0.16404529864831172,0.7390705989046851,1.6041507525624015,0.5583181871176971,1.0141033739638385,0.1130107478881699
16.949,16.949,True,-0.0140625,1.1289225349119834,1.2,-0.185048551939333,-0.08017446596279068,-0.0,0.5092764070709445,-0.16620054736089296,0.7390705989046862,1.602398601639766,0.5569404862608238,1.014951448060667,0.1139710868513164
16.98,16.98,True,-0.013176059722900391,1.1297934117879984,1.2,-0.18423008368074556,-0.07818521159681827,-0.0,0.5069502528731472,-0.16832057337021752,0.7390705989046837,1.6006735123088158,0.5555533087269265,1.0157699163192544,0.11402349546874402
17.015,17.015,True,-0.012499046325683594,1.1306099982319526,1.2,-0.18489110873988124,-0.0772272470332017,-0.0,0.5058016072807278,-0.1693674336917436,0.7390705989046827,1.598924575662355,0.5541142086620678,1.0151088912601187,0.11550110697183391
17.046,17.046,True,-0.011827564239501953,1.1292905528653903,1.2,-0.1841058030563132,-0.07632900194485207,-0.0,0.503531754398515,-0.17143614743057844,0.7390705989046823,1.5972547887971373,0.5527078633819938,1.0158941969436868,0.1133963559217035
17.112,17.112,True,-0.01041107177734375,1.131679978326473,1.2,-0.1838845306124497,-0.07778039184807067,-0.0,0.5000932559812812,-0.17456994917272442,0.7390705989046827,1.5939490578469504,0.5498236509886774,1.0161154693875503,0.11556450893892278
17.146,17.146,True,-0.009690284729003906,1.1311214362700914,1.2,-0.18305660749966224,-0.0751520238408796,-0.0,0.497832624539398,-0.17663025861344317,0.7390705989046809,1.592362678601588,0.5483888810239915,1.0169433925003377,0.11417804376975371
17.18,17.18,True,-0.009014701843261719,1.131090291789543,1.2,-0.18360837002110375,-0.07576642010289938,-0.0,0.49671719398140396,-0.1776468471941925,0.7390705989046803,1.5908040440140487,0.5469447798929835,1.0163916299788962,0.1146986618106467
17.207,17.207,True,-0.007592391967773437,1.1330406750128805,1.2,-0.1828266021004692,-0.07580067903150277,-0.0,0.494476997716235,-0.1796885322865424,0.7390705989046804,1.589227308652863,0.545447184488433,1.0171733978995308,0.11586727711334976
17.243,17.243,True,-0.007260894775390625,1.132638142189928,1.2,-0.18202605875325384,-0.07365525748583138,-0.0,0.49228361193824627,-0.18168755492322833,0.7390705989046769,1.5877253284627453,0.5439842140190235,1.0179739412467461,0.11466420094318197
