sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg
6.205,1788980638.5202146,PREGRASP,-0.044,-0.225,0.16249942761582956,False,5.285064132785257e-15,4.1918797608974974e-30,-0.07818817019151215,-0.15047232747437694,0.27579986453246813,-0.07961670434282117,-0.15001484503914717,0.27579986453246813,nan,0.0
6.223,1788980638.5397336,PREGRASP,-0.044,-0.225,0.16249942761582956,False,5.262323240318751e-15,4.1541699083312196e-30,-0.07918284634425449,-0.15015015305479051,0.27579986610685125,-0.0806083218859442,-0.1496832274932238,0.2757998661068512,nan,0.0
6.244,1788980638.560347,PREGRASP,-0.044,-0.225,0.16249942761582956,False,5.238648656805196e-15,4.1147348257243286e-30,-0.07918284634425449,-0.15015015305479051,0.27579986610685125,-0.0806083218859442,-0.1496832274932238,0.2757998661068512,nan,0.0
6.265,1788980638.5798817,PREGRASP,-0.044,-0.225,0.16249942761582956,False,4.210040911038632e-15,2.4617285154632087e-30,-0.08399821327333548,-0.14848640686461492,0.275799871098828,-0.08540789378477699,-0.1479737658053327,0.2757998710988279,nan,0.0
6.284,1788980638.600727,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.1879713768087194e-15,1.149680743344562e-30,-0.08399821327333548,-0.14848640686461492,0.275799871098828,-0.08540789378477699,-0.1479737658053327,0.2757998710988279,nan,0.0
6.302,1788980638.6214964,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.171744218493371e-15,1.1156912287047004e-30,-0.08822270574295794,-0.1468813655663173,0.27579987781639526,-0.08961714855588028,-0.1463286185704058,0.2757998778163952,nan,0.0
6.317,1788980638.6443336,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.154954327218263e-15,1.0806926191208529e-30,-0.08927152047864151,-0.14646127683931437,0.2757998794957869,-0.09066197511624552,-0.14589857274232776,0.2757998794957868,nan,0.0
6.327,1788980638.6602867,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.154954327218263e-15,1.0806926191208529e-30,-0.08927152047864151,-0.14646127683931437,0.2757998794957869,-0.09066197511624552,-0.14589857274232776,0.2757998794957868,nan,0.0
6.346,1788980638.6811373,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.137610874956813e-15,1.0446701780641e-30,-0.08927152047864151,-0.14646127683931437,0.2757998794957869,-0.09066197511624552,-0.14589857274232776,0.2757998794957868,nan,0.0
6.352,1788980638.7040806,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.1197169404965358e-15,1.0077032377831703e-30,-0.09377002190864346,-0.14455933841593344,0.2757998842252603,-0.0951424201958169,-0.14395392703400922,0.2757998842252603,nan,0.0
6.369,1788980638.721465,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.1197169404965358e-15,1.0077032377831703e-30,-0.09377002190864346,-0.14455933841593344,0.2757998842252603,-0.0951424201958169,-0.14395392703400922,0.2757998842252603,nan,0.0
6.383,1788980638.743759,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.10126072000801e-15,9.697039009918308e-31,-0.09377002190864346,-0.14455933841593344,0.2757998842252603,-0.0951424201958169,-0.14395392703400922,0.2757998842252603,nan,0.0
6.4,1788980638.7609782,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.0822542116924182e-15,9.307383456903737e-31,-0.09787820636116754,-0.14267643839490493,0.27579989094280055,-0.09923272905004776,-0.14203202526242803,0.2757998909428005,nan,0.0
6.419,1788980638.781397,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.062694867627339e-15,8.907562453857896e-31,-0.09889670596359793,-0.14218741371100874,0.2757998926221854,-0.10024658602171975,-0.1415333312783712,0.2757998926221854,nan,0.0
6.438,1788980638.8003173,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.042585233926548e-15,8.49832078094591e-31,-0.09889670596359793,-0.14218741371100874,0.2757998926221854,-0.10024658602171975,-0.1415333312783712,0.2757998926221854,nan,0.0
6.458,1788980638.8206174,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.0219331945159265e-15,8.078987859821103e-31,-0.10325851238918514,-0.13999002227733354,0.27579989735168703,-0.10458753116279516,-0.1392945302936327,0.275799897351687,nan,0.0
6.475,1788980638.8409364,PREGRASP,-0.044,-0.225,0.16249942761582956,False,3.000750736580332e-15,7.650025116758402e-31,-0.10325851238918514,-0.13999002227733354,0.27579989735168703,-0.10458753116279516,-0.1392945302936327,0.275799897351687,nan,0.0
6.494,1788980638.859644,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.9790317584499703e-15,7.211251806135389e-31,-0.10325851238918514,-0.13999002227733354,0.27579989735168703,-0.10458753116279516,-0.1392945302936327,0.275799897351687,nan,0.0
6.513,1788980638.8813257,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.9567772915397547e-15,6.762681396503795e-31,-0.10821579648843391,-0.13728184092350493,0.2757999057485794,-0.10951910472191521,-0.13653928611169647,0.2757999057485794,nan,0.0
6.533,1788980638.8995016,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.933999523209074e-15,6.304240611522775e-31,-0.10821579648843391,-0.13728184092350493,0.2757999057485794,-0.10951910472191521,-0.13653928611169647,0.2757999057485794,nan,0.0
6.552,1788980638.9216619,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.9106982746221428e-15,5.836285933862093e-31,-0.10821579648843391,-0.13728184092350493,0.2757999057485794,-0.10951910472191521,-0.13653928611169647,0.2757999057485794,nan,0.0
6.572,1788980638.9405398,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.886869985044821e-15,5.359052159075549e-31,-0.11242152928499982,-0.13479875905292654,0.27579991047810914,-0.1137012639822032,-0.1340162763983113,0.27579991047810914,nan,0.0
6.59,1788980638.959583,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.886869985044821e-15,5.359052159075549e-31,-0.11242152928499982,-0.13479875905292654,0.27579991047810914,-0.1137012639822032,-0.1340162763983113,0.27579991047810914,nan,0.0
6.609,1788980638.9805815,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.862545586621323e-15,4.8720708997896865e-31,-0.1162429400578438,-0.13238643501678793,0.275799917195597,-0.11749977297728911,-0.1315676731389513,0.275799917195597,nan,0.0
6.63,1788980639.0007114,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.83770091158479e-15,4.375688342521411e-31,-0.11718738923806464,-0.13176635299924724,0.2757999188749688,-0.11843833531098188,-0.13093862482970553,0.2757999188749688,nan,0.0
6.649,1788980639.01996,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.8123693392501026e-15,3.869640160842908e-31,-0.11718738923806464,-0.13176635299924724,0.2757999188749688,-0.11843833531098188,-0.13093862482970553,0.2757999188749688,nan,0.0
6.669,1788980639.0405762,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.7865136557054133e-15,3.354368201470758e-31,-0.12121836318508392,-0.12900861253002582,0.27579992360452676,-0.12244312820226654,-0.12814261561739526,0.27579992360452676,nan,0.0
6.69,1788980639.06064,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.760176455939997e-15,2.8297064789488626e-31,-0.12121836318508392,-0.12900861253002582,0.27579992360452676,-0.12244312820226654,-0.12814261561739526,0.27579992360452676,nan,0.0
6.709,1788980639.0798712,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.7333562783123435e-15,2.295366481334575e-31,-0.12487058237768611,-0.126347075323481,0.27579993032198846,-0.12607007966771588,-0.12544640543322644,0.27579993032198846,nan,0.0
6.729,1788980639.1001463,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.706040831836788e-15,1.7521381945396418e-31,-0.1257716252633406,-0.1256654541888681,0.2757999320013537,-0.12696465147430097,-0.12475623009110039,0.27579993200135366,nan,0.0
6.749,1788980639.1200747,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.6782409971979066e-15,1.199348378720754e-31,-0.1257716252633406,-0.1256654541888681,0.2757999320013537,-0.12696465147430097,-0.12475623009110039,0.27579993200135366,nan,0.0
6.769,1788980639.1401076,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.649958564403097e-15,6.381479664623715e-32,-0.12960993155902545,-0.12264530721187172,0.2757999367309398,-0.13077428551179468,-0.12169964349115987,0.2757999367309398,nan,0.0
6.788,1788980639.1595151,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.621221159641477e-15,6.733288619194046e-33,-0.12960993155902545,-0.12264530721187172,0.2757999367309398,-0.13077428551179468,-0.12169964349115987,0.2757999367309398,nan,0.0
6.807,1788980639.1794636,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.592016470366981e-15,-5.119378165221461e-32,-0.13307673311615056,-0.11974638153523878,0.2757999434483753,-0.13421356565185805,-0.11876780512751334,0.2757999434483753,nan,0.0
6.825,1788980639.2007914,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.5623527276424918e-15,-1.1000544669837698e-31,-0.13393036656619464,-0.11900624960352175,0.27579994512773404,-0.13506017254008387,-0.11801956907702682,0.275799945127734,nan,0.0
6.845,1788980639.2200155,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.5322239018374397e-15,-1.6967549249105453e-31,-0.13393036656619464,-0.11900624960352175,0.27579994512773404,-0.13506017254008387,-0.11801956907702682,0.275799945127734,nan,0.0
6.864,1788980639.2396798,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.5016459772383406e-15,-2.3024579972681694e-31,-0.13755895239267907,-0.11573711402863097,0.2757999498573483,-0.1386577222908391,-0.1147159848933609,0.2757999498573483,nan,0.0
6.885,1788980639.2603154,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.4706143810601744e-15,-2.916823864581355e-31,-0.13755895239267907,-0.11573711402863097,0.2757999498573483,-0.1386577222908391,-0.1147159848933609,0.2757999498573483,nan,0.0
6.903,1788980639.2796102,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.4391442249324744e-15,-3.539720743649939e-31,-0.14082493403402918,-0.11261367925006044,0.2757999565747577,-0.14189405109739164,-0.11156154394277949,0.2757999565747577,nan,0.0
6.923,1788980639.300129,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.40725052464571e-15,-4.170886610645604e-31,-0.14162736553893712,-0.11181832479212747,0.2757999582541098,-0.14268893177541817,-0.11075857145971302,0.2757999582541098,nan,0.0
6.94,1788980639.3217342,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.374929963064011e-15,-4.810750202673562e-31,-0.14162736553893712,-0.11181832479212747,0.2757999582541098,-0.14268893177541817,-0.11075857145971302,0.2757999582541098,nan,0.0
6.958,1788980639.3399532,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.3421856530179423e-15,-5.4590210143767675e-31,-0.1450301098244942,-0.10831472473514096,0.27579996298375226,-0.14605841405459993,-0.10722266685647944,0.27579996298375226,nan,0.0
6.978,1788980639.3602269,PREGRASP,-0.044,-0.225,0.16249942761582956,False,2.3090108596350164e-15,-6.115258760421875e-31,-0.1450301098244942,-0.10831472473514096,0.27579996298375226,-0.14605841405459993,-0.10722266685647944,0.27579996298375226,nan,0.0
