sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg,m1_rad,m2_rad,m3_rad,m4_rad,m5_rad,m6_rad
20.535,1788982445.0831525,FOLD,-0.043488070992870255,-0.21458490273780567,0.22620222144354907,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.042490162810622546,-0.21468444695439173,0.22607551438679485,-0.04398763249806322,-0.21459735771742036,0.22607551438677925,-2.502976221174547e-05,0.03986499599786065,-0.058067125297258756,0.853383756988997,-0.3142981612798772,2.0046257058899934e-11,-0.5383353564710913,2.5671234886523022e-06
20.555,1788982445.1034484,FOLD,-0.04348097159806295,-0.2144628780504258,0.22652920746030203,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.0424875598294811,-0.21463970693019133,0.2261962427257146,-0.04398502951732982,-0.2145526177002355,0.2261962427256991,-2.502976221174547e-05,0.03976369497374331,-0.058067112598994323,0.8514855237404084,-0.3162836118661888,2.000281298129611e-11,-0.5344536973245151,2.5361232531329902e-06
20.574,1788982445.1231844,FOLD,-0.04347275537887388,-0.21432165674677678,0.2269035432422853,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.0424875598294811,-0.21463970693019133,0.2261962427257146,-0.04398502951732982,-0.2145526177002355,0.2261962427256991,-2.502976221174547e-05,0.03964769336613418,-0.05806709804555605,0.8493099649428484,-0.3185591301634377,1.995148962730152e-11,-0.5300049407174448,2.512286940184514e-06
20.585,1788982445.1431632,FOLD,-0.04346774881128344,-0.21423560298913047,0.2271295478824017,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04246723764735097,-0.2142904071777996,0.22712356914648027,-0.04396470733833893,-0.21420331800182282,0.2271235691464652,-2.502976221174547e-05,0.0395776417850636,-0.058067089250358785,0.8479951912708527,-0.31993431319178994,1.9880093444876554e-11,-0.5273163863618111,-3.115494837888914e-17
20.605,1788982445.1630993,FOLD,-0.04345770656064608,-0.214062994364235,0.2275782170970507,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04246723764735097,-0.2142904071777996,0.22712356914648027,-0.04396470733833893,-0.21420331800182282,0.2271235691464652,-2.502976221174547e-05,0.03943853419930845,-0.05806707177048197,0.8453821655548122,-0.3226673985143443,1.9795091143456142e-11,-0.5219730624080983,-3.424818734138566e-17
20.625,1788982445.1830988,FOLD,-0.04344635127315788,-0.21386781589206877,0.2280782987553258,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04246723764735097,-0.2142904071777996,0.22712356914648027,-0.04396470733833893,-0.21420331800182282,0.2271235691464652,-2.502976221174547e-05,0.03928342427826744,-0.058067052256563625,0.8424650757710778,-0.32571851861016954,1.9701426249744794e-11,-0.5160079639324814,-3.7736075894666895e-17
20.643,1788982445.203133,FOLD,-0.04343360193523821,-0.21364867473472618,0.2286309589080713,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04244011556581707,-0.2138242243083073,0.2283215993447568,-0.04393758526087508,-0.21373713520231263,0.22832159934474217,-2.502976221174547e-05,0.03911192693700027,-0.05806703065202659,0.8392354643469685,-0.32909651964852893,1.959885611119857e-11,-0.5094037962139827,-4.1682277882081424e-17
20.664,1788982445.2232432,FOLD,-0.04341937558637558,-0.21340414453897816,0.22923710323709906,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04244011556581707,-0.2138242243083073,0.2283215993447568,-0.04393758526087508,-0.21373713520231263,0.22832159934474217,-2.502976221174547e-05,0.038923733234562996,-0.058067006908529395,0.8356861048168002,-0.3328089601265282,1.9487171978408322e-11,-0.5021457819976625,-4.595244964302998e-17
20.673,1788982445.2431145,FOLD,-0.0434121678815041,-0.21328025401035805,0.22954011613434755,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04244011556581707,-0.2138242243083073,0.2283215993447568,-0.04393758526087508,-0.21373713520231263,0.22832159934474217,-2.502976221174547e-05,0.03882961091254573,-0.05806699501978431,0.833908887439539,-0.3346678345966947,1.9566392724801914e-11,-0.49851158581882987,2.499625257221858e-06
20.694,1788982445.2630892,FOLD,-0.04339557450113221,-0.21299503516490612,0.23022767133607105,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04240307603441981,-0.21318756755033658,0.22989140011936862,-0.043900545734836434,-0.21310047853648273,0.22989140011935483,-2.502976221174547e-05,0.038615945248888506,-0.05806696799469442,0.8298689709858597,-0.3388933714179909,1.9462125190059504e-11,-0.4902504415823014,2.5184245170154763e-06
20.713,1788982445.2832668,FOLD,-0.043377288315703956,-0.21268071692026952,0.23096985372563064,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04240307603441981,-0.21318756755033658,0.22989140011936862,-0.043900545734836434,-0.21310047853648273,0.22989140011935483,-2.502976221174547e-05,0.03838513610895818,-0.05806693874442599,0.8254964178610681,-0.34346682842956067,1.9348419380498592e-11,-0.4813090952794572,2.544427021658853e-06
20.731,1788982445.3031962,FOLD,-0.04335721922380757,-0.21233575000485516,0.23176667331190326,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04236615376020612,-0.2125529163296889,0.23138791023270627,-0.04386362346576023,-0.21246582740417144,0.23138791023269295,-2.502976221174547e-05,0.03813713288070126,-0.058066907247788055,0.8207880602812491,-0.34839151896417325,1.9225189599469318e-11,-0.4716810691724198,2.57770944464551e-06
20.745,1788982445.3232806,FOLD,-0.043345968637696686,-0.2121423629427469,0.23220562973913283,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04235670805935608,-0.21239055418173658,0.23176069447567155,-0.04385417776619452,-0.21230346527830318,0.23176069447565836,-2.502976221174547e-05,0.03800042375075497,-0.05806688985444891,0.8181879659184962,-0.3511110787454786,1.8946285057134933e-11,-0.4663641882221826,-6.780560745582412e-17
20.762,1788982445.3434045,FOLD,-0.04332304155683752,-0.2117482654686954,0.23308380317936514,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04235670805935608,-0.21239055418173658,0.23176069447567155,-0.04385417776619452,-0.21230346527830318,0.23176069447565836,-2.502976221174547e-05,0.0377267071519958,-0.05806685496439329,0.8129723336823749,-0.3565663514701933,1.8787050150222107e-11,-0.4556988463233566,-7.437584128086727e-17
20.783,1788982445.36307,FOLD,-0.043298098695638484,-0.21131951495061488,0.23401553956706095,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04229758753067417,-0.21137431912067167,0.23400956068282028,-0.04379505724530189,-0.21128723035117353,0.23400956068280832,-2.502976221174547e-05,0.037435981590393616,-0.05806681780637223,0.8074176686448119,-0.3623762343958303,1.861812500953306e-11,-0.44434022303937465,-8.104469006976147e-17
20.803,1788982445.3830848,FOLD,-0.043271045375575315,-0.21085448328464484,0.23499998211613315,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04229758753067417,-0.21137431912067167,0.23400956068282028,-0.04379505724530189,-0.21128723035117353,0.23400956068280832,-2.502976221174547e-05,0.0371284419594376,-0.058066778383741934,0.8015244725150019,-0.3685402027613715,1.8439517033287333e-11,-0.4322893443053224,-8.828884956566148e-17
20.821,1788982445.4032168,FOLD,-0.04324178662154264,-0.21035153723071295,0.23603603385126565,True,-5.76564722115324e-06,-2.0252084690231182e-05,-0.04229758753067417,-0.21137431912067167,0.23400956068282028,-0.04379505724530189,-0.21128723035117353,0.23400956068280832,-2.502976221174547e-05,0.03680435088407568,-0.05806673670639386,0.7952942239451105,-0.3750567099756353,1.825126248200655e-11,-0.4195492337873973,-9.586242525694636e-17
